爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
HiFi耳机,个人觉得不算小众吧！,3~5年,10000-100000元之间（主要是购买hifi耳机和便携播放器）,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,入门：1000-3000元左右 精通：10000元左右,总的来说是需要自己不断去线下试听过后对一些听音经验的总结，具体的投入时间是不明确的（了解产品特性后根据自己的听音风格选择自己喜欢的耳机即可）,,
摄影,,1~3年,10000,萌新入门阶段，还在摸索学习,1,<1小时,5000 100000,半年 三年,5 - 广为人知，老少咸宜的全民爱好,5
修车,"不去4S店，不去汽修店，买个斜坡自己做保养。除了需要借助专业设备的工作如空调加氟，换胎外，其他一些油水更换，日常维修都自己搞。
一些改装如升级音响，升窗器，LED大灯，火花塞，刹车片等，会自己琢磨搞出来。
不会去做重复劳动。比如小保养换机油，自己换了两三次，玩明白了，之后还是会去汽修店搞。像玻璃贴膜这样依赖熟练度的活，不会去做。需要分析电路图，分析结构，分析故障规律找到问题点的事情才会自己干。跟没玩修车前比，修车师傅在干嘛，做的对不对，好不好，一目了然，还是有一点点成就感的。
算时间成本的话，理性做法是不要自己维修，都交给汽修店搞就可以了。但是维修过程中查找资料，搞懂结构，动手尝试，最终解决的过程就像是解谜一样，最终问题解决的时候非常高兴。汽修店两小时解决的问题，可能前后要花一个月慢慢摸索，反复拆卸，这就是乐在其中吧
steam上的car mechanics 2018汽车维修模拟累计玩了快300小时，基本到头了，没有实操有意思。
终极目标是买一个带车库的房子，装上龙门举车架，自己改车，飙车。但是不知道我赚钱的速度能不能及时追上身体衰老的速度",3~5年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,3000，基础工具包➕10000，龙门举车架的价格,50小时。500小时,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
古筝,,3~5年,当课程学的，得有一万多吧,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,古筝本身低得有一两千，高的几万也是常态。再加上想学课也得花上不少,入门两三个月，精通得有五年吧,,
象棋,,>10年,少部分学费+比赛+附加费用约万元左右,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,入门可随便玩玩0成本；精通需要拜师、买各种棋书、软件以及各种参加比赛但仍不过万元,入门2小时，精通2年都不止,,
摄影,,1~3年,3万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10万,2年,,
画画,不小众,1~3年,200,萌新入门阶段，还在摸索学习,1,1~3小时,emmmmm没有具体，小到几十，大到几万,小到几月，大到几十年,无须作答,
收集鞋子,,3~5年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"2000,10000",180天,无须作答,
中国鼓！！,,<1年,0嘿嘿,萌新入门阶段，还在摸索学习,1,<1小时,"其实最主要是找老师，辅导班培训老师太少了，尤其我偏远一点的地方，在互联网上根本找不到系统教程（最近发现有个老师在发入门视频）。
玩乐器都知道，买个好鼓就要大几千（应该。虽然我用的是学校哒",入门不清楚，精通要几年吧！,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
小车模型收藏,主要为合金1:64比例小车模型，品牌主要为风火轮、火柴盒、多美卡、nimiGT,3~5年,20000,萌新入门阶段，还在摸索学习,1,3~6小时,入门9.9 精通无上限,全靠天赋,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
球鞋,,1~3年,1.5w,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门不用钱门槛低，抽签谁都可以，精通多多少少要有几千块去买，毕竟不可老是在软件上看,入门：1h  精通：3-5h,,
户外登山,也不算小众，年轻人较喜欢,1~3年,因为是短途一天内的路程，不是重装露营的，花费1000到2000，鞋需要好点，所以贵一些，防晒服，背包，速干衣，登山杖等等。,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,看程度，如果去登顶高难度的山，本身需要好的身体素质，好的装备，专业的团队等等。王石听说花了上百万登顶珠穆朗玛峰。如果像我们普通的，只是一天内来回路程的爱好者，大概2000到5000左右。重装几天的路程需要上万不等。,3年以上,3 - 不高不低,3
橡皮章,用刻刀在橡皮上刻出图案,1~3年,500,萌新入门阶段，还在摸索学习,1,<1小时,入门20就行  精通上不封顶,入门1小时  精通500小时,,
看小说,,>10年,几千？都是网络上看的,看了很多有营养没营养的小说哈哈哈,,1~3小时,0,1-♾️,5 - 广为人知，老少咸宜的全民爱好,5
网文,,5~10年,20000,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,入门:200 精通:5000,入门:100小时 精通:1000小时,5 - 广为人知，老少咸宜的全民爱好,5
手机数码,,3~5年,6255,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,5000 10000,一个月 三年,3 - 不高不低,3
传统粤剧,,3~5年,13000-15000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,因为有一些特别的服装需求 如果是入门听听网上的教学就可以 但是如果是深入了解 还是得找老师有系统式的学习或者香港的演艺学院也有开放相关的课程 ,5年起步吧（当然不排除有一些天赋异禀的同学）,3 - 不高不低,3
业余无线电呼号MM0NIU,和无线电爱好者通过基于网络和不依赖于任何基础建设的通信手段，原理，设备，天线。业余无线电爱好包含的比较广泛大致包括：1.用来通信的小到比如对讲机复杂的可以是一套可以不依赖于任何基础设施的全球通信短波设备；2.用来测试无线电环境的比如也许有望寻找马航h370的WSPRnet. 3.无线电的收听比如用sdr（软件无线电）解码国际空间站广播传来的图片。4.无线电定向，这个国内比较多有很多比赛。5.研究和设计天线的。 当然业余无线电主要突出一个业余主要是爱好。5. 研究电路的自己设计制作无线电收发器滤波器放大器之类的。 误解也挺多的不少人以为就是听收音机的。。。,1~3年,50000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0-无限 主要看对哪个方面感兴趣 如果想发业余无线电卫星应该要几个亿 而且业余无线电卫星还挺多的。但是如果是玩玩基于网络的收听或者基于网络的数字通信可以不花钱。,跨度太大不太可能全部精通，总能学到新东西。就无线电环境一块目前也没人敢说是精通，仿真软件在复杂且比较多金属环境下依然无能为力。就短波通信方面 法规精通就需要学习就需要20-30小时。我有通信方面的背景但拿到英国的高级执照也学了有60-70小时而且是刚刚及格。,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
看新番,没啥特别的，就是喜欢看每季播出的动漫作品,5~10年,100000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：0  精通：0-148（视频会员费）,入门：30分钟 精通：4年,4,4
羽毛球,,3~5年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,100000,两年以上吧,,
衍纸,入门简单的生活艺术 由捏，拼，卷组合完成,5~10年,300左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"入门：10—20
精通：出作品的话 3000左右（?）","入门：两三天
精通：不定 艺术太吃天赋",,
"看车赛，如F1，motogp wtcr wrc等
",,1~3年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,观赛基础会员费—∞，真正投入的话还是很烧钱的，但作为爱好图一乐也可以少花,1年,3 - 不高不低,3
球鞋,球鞋收藏或理解球鞋知识，欣赏球鞋,3~5年,3k,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1~5w,10年,3 - 不高不低,3
摄影,,3~5年,3万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10万以内,1年 5年,,
饮品,果茶，咖啡，奶茶,3~5年,5000,萌新入门阶段，还在摸索学习,1,<1小时,10000+,1年以上,5 - 广为人知，老少咸宜的全民爱好,5
橡皮章,应该不算很小众吧，说出来的话大家应该都知道，简单来说其实就是刻橡皮啦,3~5年,其实不记得了，橡皮章这个爱好蛮省钱的，材料和刀的话也就几百块，哦主要是印台会贵一点吧，加上一些相关的东西可能也就千八百块？东西都是零零碎碎买的，我也不是很有概念了。,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"只要入门的话，一把刀和几块橡皮砖就够了，便宜的真的很便宜，刻刀三十块钱，橡皮砖一块几块钱，就可以开始了其实，我当时的话初中开始了解，然后自己玩着刻，买的都是美工刀和普通的橡皮。
要玩到精通的话，得看到什么程度的精通和追求，如果精通只是追求刻的好，那材料很便宜的中白大白和可以替换刀片的刀都可以用很久，另一方面追求不一样的话，花里胡哨的各种让章子本身更好看的材料，果冻啊彩砖啦也可以花更多的钱，然后还有更高级的笔刀，各种不一样效果的工具，各种花样啊什么的，虽然也能花不少钱，但其实不会像摄影或者bjd那种那么多的钱。我不敢说自己是精通因为刻的也很一般其实，这个门类归在手作圈里，也会为了更多的像是拼贴，胶带，手账，火漆这些花钱，所以我也不知道精通需要多少钱，想花可以花，但是花了可能也没法精通，主要还是看时间，超级好的刀和印台和砖不一定会让你刻的更好。","入门的话，一两小时就能刻出小章子的，其实我们高中美术课当时就有教这个，动手能力比较好的几节课就能刻出挺好的东西了，不过也有就没什么天赋的那种。
精通的话，也看人，手不抖眼睛好很稳然后有耐心的话比较会快很多，了解学习然后动手练习，几个月就可以刻的很好了。
超级大佬一般模仿不来，各有特色的感觉，刻大章，做套色，都很厉害，我也不知道他们到底投入了多少时间。",3 - 不高不低,3
徒步,,5~10年,40000,萌新入门阶段，还在摸索学习,1,<1小时,几十万到上百万,5年,3 - 不高不低,3
蝴蝶刀,拿一把蝴蝶刀耍各种花样,1~3年,500,萌新入门阶段，还在摸索学习,1,<1小时,一百来块,半年左右可以玩出一些简单的组合,,
俄罗斯方块,就是喜欢的可以玩一辈子，不喜欢的当然也不懂它的乐趣,1~3年,0,萌新入门阶段，还在摸索学习,1,1~3小时,几十块钱买游戏足够了,看个人，如果有天赋的话入门很快,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
吹双簧管,双簧管是一种双簧类的木管乐器。双簧指的是簧片数量为两个，簧片是这种乐器发声的主要部件。可能大部分人都会将双簧管与单簧管混在一起，所以我简单说明一下两者的差别：看名字就能知道，两种乐器哨片上的簧片数量不一样。而且单簧管的“头”（也就是哨片位置）很像萨克斯的那种（因为都是单簧乐器）；大部分单簧管都比大部分的双簧管粗一圈；双簧管的“头”很细；单簧管的键子开口都很大，而且比双簧管看起来要少（其实差不多，都有些难就是了）。,1~3年,260000（双簧管价格）+（6*60）（买的哨片数量*哨片平均价格）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,100000（较好的双簧管基本上10万起步）+（x*100）（x大概是三到六个月左右，因为基本上都要定期换哨片，100是质量较好的哨片价格）,30~40年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
摄影,,<1年,10万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：5000 精通：4万,入门：一个月 精通：一年,3 - 不高不低,3
模型涂装,对原型白膜进行上色,1~3年,3000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门500 精通 100000+,入门30h 精通500h+ ,2,2
国外Vtuber国内VUP,半小不小吧 用虚拟形象在视频网站上投稿 活动 直播 ,1~3年,400左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"入门：0
精通：200左右
愿意给主播消费也不算精通吧","入门：两个小时 看看切片就粉了
精通：长期追直播或转播 观看大量切片 两三个月吧",,
烹饪,就是做饭啦,1~3年,好多好多,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,上万,10年,5 - 广为人知，老少咸宜的全民爱好,5
命理学（八字、紫微斗数）神秘学（塔罗）,喜欢命理学的朋友估计都听过王德峰教授说的话：“如果一个人四十岁还不信命，只能说明这个人悟性太低。”,3~5年,一千以内（主要是买塔罗牌，现在tb直接搜塔罗牌无任何链接，只能搜索店铺再进去购买，可见神秘学真的只能神秘着搞）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,150（一副塔罗牌）其余都可网络视频，pdf自行研究,八字（三天可以知道一个大概，悟性高的例如王德峰教授不就两三个月嘛，悟性低的就别了，命理学需要天赋）,3 - 不高不低,3
攀岩（抱石）,在5米左右的墙上进行攀岩，没有绳索保护，规则是只能踩同一种颜色的石头，结束一条线路的条件是两手同时触碰到最上面的同色石头。线路结束后可以踩任何石头往下爬或者直接跳下来。颜色不同代表线路难易程度不同。（新手入门的解释，大佬勿喷）,<1年,1400,萌新入门阶段，还在摸索学习,1,<1小时,1万（攀岩馆的门票钱100元一次，攀岩鞋子，镁粉，如果想要精通的话可能要去健身房练肌肉减脂🥹）,3年,3 - 不高不低,3
吉他指弹,一种吉他的演奏方式 纯音乐 注重演奏时的技巧,1~3年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,练习时间更能衡量,自认为起码要6年以上算精通吧,2,2
山地车自行车越野,这是一项运动，和普通的骑自行车游玩有区别，主要是进行越野骑行，但根据路线的崎岖难易程度等也有很多的子分类，主要有有DH、Enduro、crosscountry等。其中crosscountry为奥运会项目。,5~10年,50000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,这项运动主要看个人技术，但购买山地车的预算来说 入门：5000  精通：15000,1-2年,3 - 不高不低,3
桌游,三国杀狼人杀不算，基本可以分为跑团/美式/德式/毛线，比如龙与地下城/幽港迷城/历史巨轮/传情画意,1~3年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,入门:半小时   精通:1年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
睡觉,,>10年,4000,硬核大佬，这个领域基本玩到头了,4,>6小时,0元 10w,2天   100年,5 - 广为人知，老少咸宜的全民爱好,5
跑步,,1~3年,600左右,萌新入门阶段，还在摸索学习,1,<1小时,1200左右（跑鞋是消耗品所以不止吧,五年以上能做好吧,5 - 广为人知，老少咸宜的全民爱好,5
写繁体字,本人是土生土长大陆北方人（真）哈哈哈哈哈。除了高考和考研，其他所有需要书写的时候都用的繁体字，这里的繁体字是以新华字典为依据，若有多个字形冲突按台湾正体字为准,5~10年,32.9（一本新华字典）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,爱好就是本人上述，最多再花个几百读几本繁体书籍；精通估计要几万，去台北生活一阵子吧,小半年的不停查不停写每日反复练习吧就能掌握了,4,4
板绘,这个爱好大概率不是小众吧。😊 ,3~5年,7000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,几百元~几万元,2到3年，每周30小时起步,2,2
摄影,,3~5年,10万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,2千、5万,一个星期、一两年,5 - 广为人知，老少咸宜的全民爱好,5
扣指甲皮,每次做题时，都会不断的扣来缓解内心的焦虑感,5~10年,0,强迫症者，没有此圈,,1~3小时,0,1小时,2,2
tk,捆绑挠痒轻sm…,5~10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1k？,1个月,,
P社（Paradox Interactive）游戏，一般称为P社四萌（但是不止四款游戏）,这个公司出的游戏比较小众，主打偏向历史推演的策略类游戏，目标玩家是喜好历史并且带点恶趣味的玩家。可以扮演历史上的一些国家，使其走向不曾设想的道路，比如大明进行大航海，重建罗马。我小时候就喜欢对着地图进行幻想，P社玩家可以在游戏中获得一种历史满足感和掌控感,5~10年,1000以上,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,"入门：0元（国内并不排斥盗版，当然并不是提倡盗版，我本人是正版玩家）
精通：3000+（每款游戏加上DLC并不便宜）","入门：100+小时（入门并不难）
精通：1000+小时（因为不同时期不同国家难度不同，我自认为要至少1000小时）",2,2
玩车,就是改车，玩车。玩外观，玩动力 个方面都有。,3~5年,7-8万吧,算是资深，有非常多改车未来规划，但没钱是硬伤,,<1小时,要看车型，几万入坑吧。至于投入多少才算精通吧，简单来说就是无底洞，要确切来说少说也得百来万吧。,改车、玩车也涉及车技师，至于这方面我见过的很多技师干了三四十年都不敢说精通，所以下不了定论。,3 - 不高不低,3
伪声（男伪女）,伪声是一个群体模仿另一个群体的声音，例如男孩子模仿女声，或女孩子模仿男声。。也有模仿男声模仿正太或女生模仿御姐或萝莉等。。类似于配音但跟配音有些不同,>10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,入门：6个月，精通：无上限,2,2
工具,各式优质的钳子螺丝刀等,1~3年,1万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,5万,日常使用,2,2
攀岩,,1~3年,5000,萌新入门阶段，还在摸索学习,1,<1小时,1000/10000,3月/3年,4,4
摄影,,1~3年,0,萌新入门阶段，还在摸索学习,1,1~3小时,懂得都懂,看人,,
航模,,>10年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1000—……………,1年,3 - 不高不低,3
睡觉（睡好觉）,穿什么睡裙睡衣床品得到舒适睡眠,5~10年,10000+,摆脱噩梦困扰，无法对比,,>6小时,0-♾,一生,5 - 广为人知，老少咸宜的全民爱好,5
收集各种石头的手串，或者买半成品制作,收集购买许多好看的石头，如天河石，蜜蜡，绿松石，欧泊，月光石等,3~5年,10000+,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,没有上限，好东西太贵了,入门1周，精通可能要好多年,4,4
拔白头发,,>10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,0,5 - 广为人知，老少咸宜的全民爱好,5
DIY人体工学键盘,应该不算太小，不过我还是说一下吧，比较有名的应该是Ergodox 分离式键盘，此类商品本就不多，价格也都贵的离谱，因此自己动手焊自己的键盘，从二极体到机械轴，再到主控板。,1~3年,7000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：1500；精通：几万吧,入门：几天；精通：两三年吧,3 - 不高不低,3
水彩 摄影,这个应该不算小众吧～,5~10年,3w左右？时间跨度有点大，不太记得了,高于爱好者，低于资深玩家，不怎么喜欢按照常规模式学习，但能有一些让周围的人表示惊喜的作品。比较社恐所以喜欢自己玩。,3,<1小时,虽然我觉得是个无底洞，但一定要说一个数字的话，水彩2k足够，摄影1w5。（单纯自己玩不请老师的话）,不管是什么爱好，都需要大量的时间去钻研，但是入门非常简单，30分钟就可以，但是想要精通的话，要根据个人能力和付出而定时间。,3 - 不高不低,3
立直麻将,又称日本麻将，是麻将的一种，也是竞技性最高的麻将,1~3年,0,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,0,1-2个月入门，3个月精通,2,2
绘画,就是拿起笔和纸，什么笔和纸都可以，画就对了,>10年,100000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门4000，精通…,入门半年，精通…,5 - 广为人知，老少咸宜的全民爱好,5
篮球,听大众的吧哈哈哈哈,1~3年,3000➕,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,越多越好，至少2h➕,5 - 广为人知，老少咸宜的全民爱好,5
飞碟射击,拿散弹枪打飞碟,<1年,4800,萌新入门阶段，还在摸索学习,1,<1小时,入门：1800，精通：4500,1周,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
录音 （播客）,额 这个应该大家都知道是干啥,5~10年,27000左右吧，没花多少钱 一直算是浅尝辄止吧,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1000，精通可能没有底吧,1h，精通不太好说,3 - 不高不低,3
电子游戏,,<1年,3000,萌新入门阶段，还在摸索学习,1,1~3小时,6000,2年,,
BJD,有人对BJD类似的人偶感觉恐惧，或者有些人因为产品价格望而却步。,1~3年,5万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,800~5000,入门2小时左右，精通可能三个月,3 - 不高不低,3
琵琶,还好，没有很小众,<1年,4k,萌新入门阶段，还在摸索学习,1,<1小时,不是很确定，但是琴越来越高级和学费大概需要上万,2～3年吧,4,4
橄榄球,还是很少看到人在玩 学校里大多也没有橄榄球场,<1年,3k,萌新入门阶段，还在摸索学习,1,<1小时,5k,1年,3 - 不高不低,3
观察阳光下的事物,去观察阳光下事物颜色的变化 例如植物被阳光照射的部分会呈现出不同的色彩和光泽,1~3年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0/0,5min/2hour per day,2,2
制茶,喝茶做茶买茶拼配,<1年,两千左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门 两百 精通 至少得有买下一片山头的钱,入门 一周 精通 十年,4,4
mad制作,,1~3年,5000,萌新入门阶段，还在摸索学习,1,<1小时,入门0，精通的话4k？,入门半个月，精通时间无底洞,3 - 不高不低,3
写信交笔友,,1~3年,100？真的不知道 基本就是邮票的钱,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,几块钱入门买邮票 一直写就一直买,我觉得最难的是找到笔友 找到了有些可能写着写着就消失了 还是看运气,4,4
爬宠,,1~3年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：1000 精通：30000,入门：一个月  精通：2-3年,2,2
日本AV及周边,日本AV不用多解释了，重点是周边。AV女优除了拍AV以外，还拍写真，头部女优们还成立了偶像组合，惠比寿麝香葡萄，我就是粉丝之一。,5~10年,没有自己统计过，粗略算来大概3万块,算是爱好者程度。大学期间以及工作后两三年非常活跃，但是后来因为工作繁忙就渐渐淡出饭圈了。,2,<1小时,入门几乎不需要钱，精通的话至少要上万元。,入门每周三两小时就可以，精通的话需要每天都拿出一两个小时来获得女优们的资讯以及片商的资讯。,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
幻想,,5~10年,0,选项 5,,1~3小时,不需要,一天,,
滑板,玩法很多，我自己主要以做一些难度的动作，成功了会很有成就感，很享受和朋友一块玩的时光,1~3年,600元,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,滑板要买专业板，专业板一般300以上，玩最好穿板鞋，没有也要买，入门550到600应该就够。精通1000+，滑板会有磨损，要换板,入门：1个月  精通：2到4年...（毕竟大家的悟性是不同的,3 - 不高不低,3
打音游,似乎也不小众了（？）,1~3年,120,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门0，精通不好说,入门1天，精通不好说,,
睡懒觉,睡懒觉能够让我更加冷静、精力更充沛、减轻焦虑程度、注意力更加集中,>10年,3000,资深玩家，在圈里小有名气，各种玩法都试过,3,3~6小时,50-5000,0,5 - 广为人知，老少咸宜的全民爱好,5
西餐做菜,,1~3年,18000大概,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门的话我不在国内不好说材料费，不过在美国也就普通买菜钱，精通的话也就是多练习多反思,2个月吧,5 - 广为人知，老少咸宜的全民爱好,5
写作,,>10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0,10年？,,
棉花娃娃,一开始是喜欢电竞选手的同人娃娃，后面慢慢延伸到无属性，再到自己喜欢的游戏角色,1~3年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,50000,三四年,2,2
手串,,1~3年,5000,萌新入门阶段，还在摸索学习,1,<1小时,2000,2年,,
寻找快乐,我是一个三分钟没有乐子就会自我emo的人所以我很享受和喜欢寻找快乐，什么都很感兴趣的，给我带来很多快乐,3~5年,5000+,资深玩家，在圈里小有名气，各种玩法都试过,3,>6小时,2000+,想要快乐的时候=对于我来说每时每刻除了睡觉,3 - 不高不低,3
动画,天马行空的镜头,<1年,6000,萌新入门阶段，还在摸索学习,1,<1小时,入门400，精通10000,入门三个月，精通5年,,
养龟,养龟这个算是比较小众的爱好了，身边养龟的同龄朋友基本上没几个，都是这大叔啥的，我一个95后觉得养龟能修身养性，乌龟其实也挺好打理的，憨憨的，反正我能get他的萌点,1~3年,1000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1000不到,大概需要好几个月，需要学习相关的知识,3 - 不高不低,3
宝可梦卡牌游戏pokemon TCG,宝可梦官方出品的集换式卡牌游戏,5~10年,至少20w吧,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,入门大概100-200人民币就可以，精通的话需要一套强力的主流对战卡组，大概1000往上。,入门很容易，玩一两个小时就入门了。精通需要大量的练习，了解主流牌组，最快的话也需要几个月。,3 - 不高不低,3
F1,看比赛，买周边，练习卡丁车,3~5年,15000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门2-3k 精通无上限,入门几天 精通5年+,,
生成艺术,使用算法生成图像。相比于由人去创作，算法能提供更多意想不到的可能性。NFT是生成艺术的实际应用之一。,<1年,1000+元,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0元入门、0元精通,1小时入门、1年精通,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
卡丁车,,1~3年,30000,没啥名气，但基本能冲一冲各个娱乐场馆的月榜,,1~3小时,入门：2000（手套和头盔，再去馆里练几次的花销）；精通：十几万吧,"入门：其实和射箭不同，有车感的人和没车感的人，入门速度差很多，有一两个星期就能冲周榜的人，有几个月了还不行

精通：我个人觉得2～3年左右基本就可以了，卡丁车精通之后还可以上其他赛车比赛",2,2
实验艺术,实验艺术是当代艺术的一种，一般意义上泛指影像艺术、行为艺术、装置艺术、文本、网络多媒体、事情。,1~3年,20000,萌新入门阶段，还在摸索学习,1,<1小时,无限吧 看过很多我觉得贵的离谱的作品也有很多不用钱的作品,很多年 毕竟艺术,2,2
魔方,包括但不限于三阶、二阶、四阶及高阶、异形魔方、单手、最少步和盲拧等,5~10年,500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：10块就能买一个玩起来 精通：500以内可以买到顶级魔方（如玩多种魔方则乘以数量）,入门：1-3小时照着教程即可还原 精通：至少需要1-3年的大量练习,3 - 不高不低,3
音游自制,"使用自制工具对自己喜欢的曲目制作不同样式的音游曲目，常见的有osu，4k等，但我这里指的格式一般与市面上已有的商业音游相同，包括arcaea，phigros，cytus，lanota，dynamix 等，因为商业音游的ui精美，判定合适，游玩体验好，官方更新慢，很多人想要由此自制
因为商业音游的游玩格式和音游曲目的版权问题等，这些自制往往只在小圈子内流行，需要本身音游水平达到一定程度，加入qq群中获取自制工具；同时因为大家都是创作与游玩同时进行，对于谱面与音乐的契合度，游玩手法等都有较高要求",<1年,0,萌新入门阶段，还在摸索学习,1,1~3小时,0,一年以上高强度交流,,
jk手作,不是很小众，给JK制服设计出不同版型的领结，并且做出来,1~3年,1.3W,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,入门只需要一块布和针线就可以，到精通其实也不需要投入太多金钱，还是有布和针线就行，想要扩大产能就得添置缝纫设备、人手帮工,一个月吧，用来练习手艺，后面想要打开销路什么的就得多看多学习别人是怎么做的,3 - 不高不低,3
收集好看的东西,手表、贴纸、饰品等等越小越好,3~5年,1000,这很自由,,<1小时,看个人真的,不专业,,
整理分类文件夹,,3~5年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,一天就可以,,
看推理综艺,,3~5年,100,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0-1000其实也不需要什么钱,1-100（倍速播放可以的,3 - 不高不低,3
手帐,一本小本子上可以随时随地记事。把心得或者感悟，或者见到的有趣的事情记下来。看见好看的杂志，画报也可以随时撕下来拼贴上去,5~10年,7k-8k,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,分情况讨论～如果是一个有想法的人，成本很低就能做出很好看且有创意的手帐，如果比较缺乏想法那么可能需要多买一些现成的材料。,一半在半年左右就能很好融入手帐圈。但本质上它只是一个记录生活点滴的爱好，一段延续的过程难以说清怎么样才算玩得精通,2,2
cosplay,,5~10年,10w？,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,一套cos来说 500入门 2000精通,一天/半年,4,4
